name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M676T265,676.362766,265.224,2772322.565,3108159.535,2658333.618,3017877.051,3259474.93,2783097.725
M677T630,676.5463121,630.298,4872134.989,4649197.662,4162840.438,4704500.318,4217930.719,4412161.23
M677T283_1,676.6700372,282.661,38905612.29,39807349.92,39536935.97,35754376.78,38198589.21,40981098.62
M677T266,676.6961403,265.878,1430860.934,1632701.509,1784159.069,1444970.801,1595816.951,1464615.861
M677T40,676.7053444,39.68975,12225058.74,12842475.49,12255952.93,11960459.68,10904976.5,12990321.01
M677T283_2,677.0042602,282.661,45303462.48,43772317.89,44075540.88,45348944.29,46217618.55,42550411.74
M677T283_3,677.3385902,282.661,28638875.44,26699806.8,28178155.54,26435223.62,28713276.02,25799422.68
M678T630,677.549073,630.168,678120.1038,979948.4561,909712.38,860433.3545,861699.1078,851435.569
M678T496,677.5579584,496.172,0,1576761.73,1508144.621,1726767.343,1829734.938,1146076.3
M678T283_1,677.6727634,282.9645,11940606.96,11478164.8,11249764.45,10508223.28,10772590.02,12007481.11
M678T39,677.7051692,38.8725,2445615.031,2078821.851,2319223.881,2130391.144,1670598.518,2069541.327
M678T244_1,677.8346334,243.83,4127855.606,4778526.724,4228011.18,3849043.328,4397897.749,3569748.697
M678T35,677.9766704,35.10435,2473275.058,1714521.567,1689736.273,2148302.519,1932119.697,2031732.699
M678T283_2,678.0071225,282.661,3219515.342,3399470.246,3930845.181,3351067.497,3365802.183,4233108.311
M678T244_2,678.0854403,243.827,6945157.653,7265704.526,6065011.96,5081036.248,6464940.524,7205681.53
M678T298_1,678.1086952,298.192,2320371.969,2668333.567,2912471.892,2116582.259,2397451.89,2726927.156
M678T310,678.3205345,310.403,3698298.082,3248030.517,3659570.747,3639663.13,3814527.117,3055210.467
M678T244_3,678.3359192,243.6085,4885675.355,4647424.228,5673200.147,4774714.573,4915723.338,5230116.397
M678T283_3,678.3413645,283.0415,855213.8567,1234935.637,513562.3806,716319.4162,1307661.482,1153229.737
M678T298_2,678.359527,298.277,4717496.665,4217564.701,3958330.119,4429971.15,4135305.42,3933847.412
M678T551,678.4699921,550.721,305910.9531,22888.67044,394978.5422,645273.8954,1363707.35,1765662.521
M678T481,678.4776351,480.831,1372090.957,1445299.084,1456122.026,1345535.409,1873542.494,1669857.266
M679T621,678.5060077,620.66,876518.2344,799476.0026,976532.5553,1040177.965,872384.6246,873050.5682
M679T244,678.5871526,243.9125,2808987.934,2521606.806,2182478.576,3156196.213,2684363.543,2536365.123
M679T298_1,678.6099433,298.213,3870852.825,3378165.244,4027660.207,3688479.103,3300872.033,3588283.107
M679T310_1,678.6549124,310.0745,4390209.232,4087906.69,4144719.158,5145777.526,4246921.082,4009623.445
M679T46,678.6652437,45.97355,782276.9766,1002130.305,1001635.525,1238788.395,839265.074,834660.4436
M679T40,678.7024174,39.75975,11768948.54,11468874.13,12820296.64,12331787.29,10681338.69,11942543.02
M679T243_1,678.8376704,243.49,1046564.131,855895.9812,763454.5901,602971.02,789555.5758,1072472.761
M679T298_2,678.8605734,297.889,2094371.573,1915573.919,1886093.743,1368489.176,2120059.352,1445324.164
M679T310_2,678.9884445,310.403,3170872.54,2699539.267,2750135.112,2818786.188,3003924.485,2883419.039
M679T646,679.0128204,646.325,8897847.892,7929879.916,9428949.96,7622692.338,9132435.028,6744133.836
M679T36,679.0130579,35.9359,343167589.1,339178987.8,316192415.8,320237048.1,350263254.5,319906941
M679T243_2,679.0285187,242.846,925587.8049,824976.4596,1714121.287,757756.0674,1071856.121,1090940.5
M679T310_3,679.3215001,310.089,1432146.518,1415516.557,714498.9332,891047.585,1517742.368,1078651.701
M679T340,679.3866809,340.1035,2954252.394,3821714.6,2680539.385,2776662.269,2848561.54,2799482.695
M679T478,679.4586705,477.56,618541.0517,593862.72,863905.2287,791744.9042,533974.908,894722.5449
M680T620,679.509205,620.1,247701.4807,153919.7755,279419.1943,202690.9783,243004.7389,194621.3523
M680T36_1,679.5152327,36.38435,4970027.296,3821302.735,4061970.128,3892234.722,4261383.571,3681553.827
M680T646,680.0165592,646.1085,1329091.033,1174375.544,1038701.346,768749.0025,1433287.946,1152235.277
M680T36_2,680.0168335,35.9359,58342954.17,58603231.44,56251940.55,59034939.79,61602498.37,56590504.56
M680T340,680.3904826,340.115,479730.3215,671745.6677,718575.3269,755090.698,810762.9287,882735.8441
M681T45,680.663388,45.0833,1054131.938,1112417.267,1059529.716,1068583.595,865880.4996,1138038.522
M681T40,680.6996733,39.75975,6208751.118,6268155.274,6058593.482,6420768.132,5800299.84,6057966.535
M681T35,680.9860086,34.61345,3524817.106,3801276.566,3083652.78,2884297.593,3186720.037,3131639.001
M681T646,680.9859666,646.349,1234678.832,1019665.212,1277441.205,1118440.578,1546450.335,779680.0812
M681T36,681.018275,35.9359,15594239.09,15057168.03,14201950.63,13759253.87,15765602.58,14142418.53
M682T308_1,681.8033652,308.089,855003.6667,889935.0268,1685374.205,1471102.761,1202756.758,983966.197
M682T279_1,681.8520676,278.9885,36162057.99,37707638.78,34811863.62,37052579.38,37056569.89,36831223.84
M682T276,682.001869,276.459,2588922.5,2537691.685,2531050.003,3171925.836,2440637.177,2962481.688
M682T36,682.0210388,35.9327,1852642.854,1815893.59,1590915.953,1620978.266,2097574.997,1740733.753
M682T279_2,682.1028167,278.99,59129303,59319728.93,57039140.6,54591049.5,60641092.16,56262725.66
M682T308_2,682.304392,308.109,805928.0288,538019.6954,432145.433,938891.6581,776473.7899,1126304.707
