name,mz,rt,plasma_01,plasma_02,plasma_03,plasma_04,plasma_05,plasma_06
M516T556,516.3561116,555.822,187979.6833,102880.0556,152431.3039,132209.8456,357058.582,129990.0452
M516T535,516.3772595,535.366,1163320.922,1068876.774,1278897.338,903600.0598,1004051.103,1012904.163
M517T47,516.7697096,46.67035,1727472.298,1572379.62,1059362.031,2592382.592,2196709.185,1815656.794
M517T39,516.8069277,39.3642,13627327.31,13029234.36,13431577.58,13878645.35,12911211.4,13500141.48
M517T93,516.9242408,92.7454,434284.8782,700067.9085,535954.2936,479837.643,544511.988,468296.118
M517T17,516.9336577,17.3254,182576.0839,399403.6064,200211.1966,363569.268,334917.3587,396372.8236
M517T658,516.9534016,657.7075,721151.9684,1136554.612,1097475.191,2348238.142,914886.1015,993410.1089
M517T642,516.9927393,642.176,179544.5279,183314.1769,50190.59832,308350.8493,165071.6499,80690.00291
M517T651,517.0036931,651.0575,2524967.811,2788470.121,3146563.273,2790398.278,2591236.261,2745453.092
M517T304,517.0613719,304.4345,794288.5691,806728.4175,782676.2742,740888.0435,825633.8881,751239.8999
M517T392,517.1136832,391.816,255753.867,461440.2458,436763.2259,335417.1283,366786.8191,343590.5571
M517T347,517.2052458,347.4765,2447206.223,2490251.409,2383808.159,2426851.675,2179053.821,2614833.099
M517T298,517.2052915,297.806,409417.5111,397325.6688,417227.5666,385201.6927,402826.4048,341622.2619
M517T466,517.3009502,465.916,1711081.774,1366606.768,1602540.571,1918442.359,1822776.749,1679092.674
M517T537,517.3125487,537.099,2543711.898,955265.833,921330.7867,829123.0961,684232.992,767309.9164
M517T523,517.3258569,523.0805,1039111.723,331475.3316,353187.6452,389630.5703,370800.473,390141.1591
M517T549,517.3895027,548.843,12831021.9,8495341.695,9184224.701,10705829.67,4906081.987,11269101.41
M517T536,517.3895296,535.742,8110727.61,7757953.066,7384915.141,5778557.115,6768380.968,5722867.844
M517T565,517.3893368,564.652,6642745.839,3786512.597,3385338.589,5085483.975,4356871.275,3324785.796
M518T536,517.8139859,536.442,1293847.838,509064.168,249359.3398,391723.4821,435200.5634,311670.4297
M518T34,517.9694098,34.0291,428962.9548,398717.9686,156901.9605,275347.7741,396384.8646,487170.7107
M518T347,518.2086039,347.426,655293.9836,491515.7042,627778.833,539780.2896,671965.9195,605286.6108
M518T405,518.2278146,404.997,1728038.385,1451357.913,1689785.496,1502634.502,1356626.376,1411470.988
M518T555,518.2910144,555.274,4291784.613,4058071.652,5392604.476,4230311.536,5418494.206,5791895.514
M518T465,518.3048483,464.605,275989.5523,162945.9104,255920.2845,332832.5359,414383.6462,258855.3803
M518T523,518.3191191,523.0805,1409526.687,554252.6436,357336.6792,515846.8708,409463.3803,475680.1449
M518T548,518.3929313,547.984,3233544.907,4955760.907,2387232.721,3351932.765,1755289.637,3216769.332
M519T44,518.6061937,44.0862,8794766.744,8314984.357,6727509.398,6447268.181,9181624.853,8710036.08
M519T405,518.7294408,404.9875,784829.4993,787191.6886,813848.9297,783308.9256,800017.0825,717178.2291
M519T47,518.7669831,46.9938,1352999.459,1019436.505,1242828.666,1305643.386,1724612.233,1480370.181
