name,mz,rt,W03.01,W03.02,W03.03,W03.04,W03.05,W03.06,W03.07,W03.08,W03.09,W03.10,W30.01,W30.02,W30.03,W30.04,W30.05,W30.06,W30.07,W30.08,W30.09,W30.10
759,177.05054,1.047,498171,418765,845523,525286,390651,529371,714489,418507,541979,489266,811505,464067,272214,401043,215229,395387,614372,592799,325232,499776
760,177.08934,1.319,87191,88553,88268,77586,61228,77916,67949,75655,111905,89433,229728,136970,144171,141707,128528,120115,129834,164446,106205,135303
761,177.16365,1.196,13868,6979,10523,11713,13229,6875,12221,8379,11286,11316,25114,8083,16402,11715,10463,9058,14538,19038,8772,6736
762,177.98898,12.171,12769,18890,18979,15813,20001,21009,19858,13893,15757,19743,8851,5982,14199,6903,7105,4965,13036,14323,5526,11308
763,178.04883,1.195,45070,50142,51190,57981,32326,47988,53749,14458,28449,37796,72882,48258,50492,46180,29965,39737,68584,89884,28887,80146
764,178.05069,5.85,132220,223413,209139,114740,138101,241538,174096,107303,170332,137527,216425,299073,211604,288395,233780,197435,238871,291586,214976,327792
765,178.05333,5.603,309498,572728,532464,270833,399463,598829,450688,297572,447816,340418,495924,681801,439468,659848,493145,449023,514036,632258,429850,666399
766,178.4966,9.297,41969,53540,62067,37747,47405,59810,40534,22194,35498,30954,28418,22649,24874,39171,21044,23670,29883,39874,23607,22976
767,178.84477,4.763,15181,17517,9815,15354,16323,18174,17425,11690,16306,8637,14457,15016,16359,15045,12602,12904,14971,16034,12505,15273
768,178.98994,11.861,12733,14746,11320,10297,11442,9750,13313,9440,15665,14201,13492,15249,13465,15959,10694,10760,13552,14509,12506,14731
769,178.993,10.28,11448,12127,76602,26000,82677,84357,96580,63123,26329,51274,8905,10057,8726,14417,5446,7945,4218,13101,5932,10605
770,179.02548,0.593,55651,43350,2429,7071,48305,25783,15428,26976,8606,46894,75331,42868,61420,54876,41401,57833,61280,20708,43379,79749
771,179.05324,8.015,277947,388898,351682,278256,387135,406515,833918,422656,511114,422494,333985,361490,200205,393950,528126,524309,577661,208772,485112,545534
772,179.05327,14.094,144071,113640,273263,314149,305624,188025,227386,131193,317555,280860,64683,124043,76766,90449,63604,98402,85735,140759,97037,136074
773,179.05339,10.525,59070,25660,75464,64544,62145,82968,85216,53770,67764,59594,52076,60594,67371,54650,42993,47010,62280,51254,49083,46564
774,179.05359,11.245,295058,193439,349473,296599,293025,278600,460573,260745,338377,342666,261375,253435,235750,222676,187552,196300,216932,230433,198127,264222
775,179.05392,4.519,95237,81075,110549,77596,85806,66139,105316,74645,111050,88173,40833,36921,46769,36454,28486,50646,32696,35143,52245,61626
776,179.05711,9.875,77773,77520,91822,75190,61330,99780,94046,67921,93107,81863,63375,63017,62314,64998,44578,37256,63773,78943,54144,83930
777,179.0573,12.759,196500,122763,262440,215889,210091,233460,264925,159506,191765,178679,109627,153634,163027,143081,111506,111771,162610,72403,144291,161842
778,179.05736,14.466,104358,68020,76185,117868,109070,83369,131120,74075,115502,73761,22401,36738,70304,56724,47542,47081,77343,73282,35810,38303
779,179.05742,11.951,810161,655266,961647,964813,821326,944868,865519,663161,794357,739519,390352,606295,487264,519149,457500,478402,563460,500300,529663,662291
780,179.05923,12.116,2377352,2025947,2882009,2827375,2450337,2926654,2630546,1811481,2729452,2121465,1458389,2078516,1809808,1782050,1638862,1551545,1932690,1767255,1701620,1989732
781,179.05933,9.296,11941689,9602393,14326786,12034789,11467031,16969372,15768303,8538348,10752545,10812805,5771912,7453404,9708776,9000864,6995696,6670845,8041862,7863702,6769977,9729441
782,179.17523,1.231,4124,8979,5239,4724,5975,8774,7994,4564,5351,6769,7810,2543,8015,3927,6696,2230,5146,8939,8116,4770
783,179.88365,13.165,3948,4070,3574,4971,2340,2451,2460,5228,5186,2937,1214,4518,3209,5746,14466,14346,4763,2776,8461,4382
784,179.99548,2.25,181843,125252,6039,9828,90334,46096,24699,11360,18399,107173,223562,321261,348131,222333,178479,250890,349339,82284,257684,262014
785,180.03041,0.587,288776,244859,3966,10091,186850,116432,56190,92695,19622,158920,463292,239169,168140,248947,237141,198022,271297,89475,232611,247154
786,180.03142,1.021,90159,94956,73826,77860,62552,60790,85534,66245,81715,96055,90067,65876,108676,72143,73804,100766,72832,71336,68414,160085
787,180.03142,3.496,85951,80051,58122,64457,57983,58298,49550,37152,74892,48138,104342,100429,108700,104561,100707,128932,96562,92727,93850,143498
788,180.06108,9.092,583076,446008,594598,618032,457802,581292,533849,315803,504883,500785,276460,403183,400948,441527,359615,357028,371949,412166,408153,400098
789,181.00731,10.78,199545,246780,241475,227686,231177,266315,282233,203988,245739,234853,216244,263719,261318,262328,212908,219445,239887,248245,214168,253216
790,181.02628,5.88,86471,44296,1372,1160,22552,20325,5326,8387,2963,20519,56178,74921,103713,104494,78162,88214,101006,14810,105687,125597
791,181.04506,8.361,44079,16720,22893,22813,2858,23976,5791,2412,29187,3877,11413,20701,17378,17365,17278,5011,19414,9391,17420,18374
